date,NAV
1997-04-16,1.2188493495358677
1997-04-17,1.215847195164464
1997-04-18,1.2207717961434157
1997-04-21,1.2100961716212235
1997-04-22,1.2260558570841542
1997-04-23,1.2245377062152933
1997-04-24,1.2241770775704148
1997-04-25,1.2175742672848973
1997-04-28,1.2237940698928604
1997-04-29,1.2515475006529326
1997-04-30,1.259856936333007
1997-05-01,1.2605565179272744
1997-05-02,1.2778802904917967
1997-05-05,1.298902402111253
1997-05-06,1.2979613904931142
1997-05-07,1.2857282577249578
1997-05-08,1.2909122095992978
1997-05-09,1.296123054143248
1997-05-12,1.3056721452789608
1997-05-13,1.2994277326898651
1997-05-14,1.3052902791609815
1997-05-15,1.3073551320485186
1997-05-16,1.299219915555156
1997-05-19,1.3020837408657966
1997-05-20,1.3088212522072142
1997-05-21,1.305138685880957
1997-05-22,1.3030242818338942
1997-05-23,1.3146393617498728
1997-05-27,1.3161466342353556
1997-05-28,1.3134831249564614
1997-05-29,1.3121638632306745
1997-05-30,1.316825657235939
1997-06-02,1.315751887282571
1997-06-03,1.318114236191757
1997-06-04,1.3136652967424827
1997-06-05,1.317365015021372
1997-06-06,1.3296410616018546
1997-06-09,1.334800122563108
1997-06-10,1.334665666529234
1997-06-11,1.3366377090604382
1997-06-12,1.3497948234792236
1997-06-13,1.3603173618669162
1997-06-16,1.3631034945628506
1997-06-17,1.3648599499949843
1997-06-18,1.366600720488375
1997-06-19,1.3801545465640925
1997-06-20,1.3791604766636796
1997-06-23,1.3616632004023386
1997-06-24,1.3747126317243774
1997-06-25,1.365781914821831
1997-06-26,1.359517570539836
1997-06-27,1.3669123894535422
1997-06-30,1.3659053738935216
1997-07-01,1.3710474593036486
1997-07-02,1.3841813199478272
1997-07-03,1.3969380206255029
1997-07-07,1.3960990790558043
1997-07-08,1.404163295987729
1997-07-09,1.3995075535138104
1997-07-10,1.407020732376584
1997-07-11,1.4145321993344433
1997-07-14,1.4188199229617169
1997-07-15,1.426599499568662
1997-07-16,1.4382675592142644
1997-07-17,1.4322336536442763
1997-07-18,1.4207445955255682
1997-07-21,1.413032729838053
1997-07-22,1.4343273776832302
1997-07-23,1.4414551008007241
1997-07-24,1.4462887810804412
1997-07-25,1.4496069546278065
1997-07-28,1.4522702553143125
1997-07-29,1.4596182665995845
1997-07-30,1.4727453869120615
1997-07-31,1.4753937743665138
1997-08-01,1.4701194767193728
1997-08-04,1.4726505244028538
1997-08-05,1.479636449448691
1997-08-06,1.4855665567405048
1997-08-07,1.476519582670661
1997-08-08,1.453693510602332
1997-08-11,1.452501981946377
1997-08-12,1.4396216995550553
1997-08-13,1.434483699291799
1997-08-14,1.4397425679674198
1997-08-15,1.4123088174219487
1997-08-18,1.4226129795318507
1997-08-19,1.442427726943831
1997-08-20,1.461391995186982
1997-08-21,1.4420227110996502
1997-08-22,1.4394497881012787
1997-08-25,1.4380074926646549
1997-08-26,1.431410334903034
1997-08-27,1.439518578551604
1997-08-28,1.4346828403389058
1997-08-29,1.4333811484033228
1997-09-02,1.4629174112456618
1997-09-03,1.4666556787811433
1997-09-04,1.4703933484051623
1997-09-05,1.4729977711596525
1997-09-08,1.479260463269576
1997-09-09,1.4812439172659597
1997-09-10,1.4692997812367412
1997-09-11,1.465831691174191
1997-09-12,1.4902663897262034
1997-09-15,1.491924127566533
