index,SPX Index_PX_OPEN,SPX Index_PX_HIGH,SPX Index_PX_LOW,SPX Index_PX_LAST,SPX Index_PX_VOLUME,return,momentum_5d,momentum_21d,ma_21d,ma_50d,volatility_21d,rsi_14
10/14/2024,5829.81,5871.41,5829.57,5859.85,549262136,0.007707613,0.028776637,0.041562241,5727.868571,5594.3206,0.006252256,65.036232
10/15/2024,5866.74,5870.36,5804.48,5815.26,787858699,-0.00760941,0.011150852,0.032339267,5736.543333,5606.8992,0.0065922,60.33203871
10/16/2024,5816.58,5846.52,5808.34,5842.47,620797852,0.004679069,0.008706777,0.036895385,5746.442857,5618.948,0.00661991,60.6491689
10/17/2024,5875.62,5878.46,5840.25,5841.47,647571141,-0.00017116,0.010626206,0.039729382,5757.071905,5631.7874,0.00655067,61.47954811
10/18/2024,5859.43,5872.17,5846.11,5864.67,702023493,0.003971603,0.008536499,0.026433237,5764.26381,5642.6946,0.005597163,61.34997603
10/21/2024,5857.82,5866.92,5824.79,5853.98,589025601,-0.001822779,-0.001001732,0.026554787,5771.474762,5652.891,0.005593844,67.80789019
10/22/2024,5832.7,5863.04,5821.17,5851.2,601620948,-0.000474891,0.006180291,0.023192861,5777.790476,5663.0272,0.005594382,67.29592424
10/23/2024,5834.5,5834.85,5762.41,5797.42,650565591,-0.009191277,-0.00771078,0.011249047,5780.861429,5670.287,0.006014612,60.90745135
10/24/2024,5817.8,5817.8,5784.92,5809.86,650947189,0.002145782,-0.005411309,0.015308637,5785.032857,5677.38,0.005997829,57.21665523
10/25/2024,5826.75,5862.82,5799.98,5808.12,627216172,-0.000299491,-0.009642486,0.010921838,5788.020952,5682.678,0.005953108,65.65101053
10/28/2024,5833.93,5842.92,5823.08,5823.52,595852293,0.00265146,-0.005203298,0.01487408,5792.085238,5688.0634,0.005955465,61.33104455
10/29/2024,5819.68,5847.19,5802.17,5832.92,675727611,0.001614144,-0.003124145,0.012223904,5795.439524,5692.5568,0.00590533,57.11686874
10/30/2024,5832.65,5850.94,5811.28,5813.67,806219575,-0.003300234,0.002802971,0.018378804,5800.435714,5696.8878,0.005534033,55.7575853
10/31/2024,5775.34,5775.34,5702.86,5705.45,1020509730,-0.018614748,-0.017971173,-0.000716345,5800.240952,5698.5798,0.006983342,35.43715749
11/1/2024,5723.22,5772.52,5723.22,5728.8,703619861,0.004092578,-0.013656743,0.005063211,5801.615238,5701.743,0.007027805,31.58817653
11/4/2024,5725.15,5741.43,5696.51,5712.69,666460983,-0.002812107,-0.019031445,-0.006673541,5799.787619,5703.3046,0.006763345,34.30190233
11/5/2024,5722.43,5783.44,5722.1,5782.76,635417134,0.012265675,-0.008599466,0.015242436,5803.921905,5706.623,0.006941361,42.16004346
11/6/2024,5864.89,5936.14,5864.89,5929.04,1103819392,0.025295879,0.019844608,0.03093479,5812.39381,5712.6878,0.008587312,58.76404933
11/7/2024,5947.21,5983.84,5947.21,5973.1,847614740,0.00743122,0.046911287,0.031260143,5821.015714,5720.3062,0.008597998,60.3145012
11/8/2024,5976.76,6012.45,5976.76,5995.54,763150574,0.003756843,0.046561234,0.037281684,5831.277143,5728.3778,0.008570938,63.07173749
11/11/2024,6008.86,6017.31,5986.69,6001.35,706424011,0.000969054,0.05052961,0.032041107,5840.149524,5735.4368,0.008515845,63.76781224
11/12/2024,6003.6,6009.92,5960.08,5983.99,709651946,-0.002892682,0.034798262,0.021184843,5846.060952,5744.538,0.008445695,68.32464164
11/13/2024,5985.75,6008.19,5965.91,5985.38,703564654,0.000232286,0.009502381,0.029254066,5854.161905,5753.8442,0.008214692,67.62173335
11/14/2024,5989.68,5993.88,5942.28,5949.17,703353805,-0.006049741,-0.004006295,0.018262824,5859.242857,5762.7594,0.008333718,63.39421009
11/15/2024,5912.79,5915.32,5853.01,5870.62,963460879,-0.013203523,-0.020835488,0.004990182,5860.630952,5772.0034,0.008884155,54.28390903
11/18/2024,5874.17,5908.12,5865.95,5893.62,755979873,0.003917814,-0.017950961,0.004936339,5862.009524,5780.4548,0.008883043,55.28849171
11/19/2024,5870.05,5923.51,5855.29,5916.98,720146144,0.003963608,-0.011198214,0.010761909,5865.009524,5788.884,0.008904535,58.69788969
11/20/2024,5914.34,5920.67,5860.56,5917.11,697028512,2.20E-05,-0.011406126,0.011264356,5868.148095,5796.1436,0.008902343,71.28121696
11/21/2024,5940.58,5963.32,5887.26,5948.71,744444386,0.005340445,-7.73E-05,0.026096091,5875.352381,5803.2026,0.008667235,71.68775192
11/22/2024,5944.36,5972.9,5944.36,5969.34,676068175,0.003467979,0.016815941,0.027449887,5882.946667,5810.069,0.008678762,75.06332043
11/25/2024,5992.28,6020.75,5963.91,5987.37,1546546652,0.003020434,0.015907032,0.030861966,5891.482381,5817.1546,0.008677907,72.16568943
11/26/2024,6000.03,6025.42,5992.27,6021.63,679892134,0.005722045,0.017686387,0.034018944,5900.91619,5824.8956,0.008724303,63.08371896
11/27/2024,6014.11,6020.16,5984.87,5998.74,628434018,-0.003801296,0.013795586,0.0284283,5908.812381,5832.5052,0.008804476,53.9613725
11/29/2024,6003.98,6044.17,6003.98,6032.38,467848822,0.005607844,0.014065234,0.037619954,5919.227143,5838.88,0.008782653,55.42532187
12/2/2024,6040.11,6053.58,6035.33,6047.15,765575016,0.002448453,0.013034942,0.059890105,5935.498571,5845.772,0.007434276,56.5300902
12/3/2024,6042.97,6052.07,6033.39,6049.88,726080415,0.000451452,0.01044031,0.056046642,5950.788095,5852.3982,0.007445069,59.72924717
12/4/2024,6069.39,6089.84,6061.06,6086.49,731646430,0.00605136,0.01077117,0.065433272,5968.588095,5859.4694,0.007372224,63.44489673
12/5/2024,6089.03,6094.55,6072.9,6075.11,735110292,-0.001869715,0.012731007,0.050555444,5982.509524,5866.5264,0.0071299,67.94838846
12/6/2024,6081.38,6099.97,6079.98,6090.27,707288187,0.002495428,0.009596544,0.027193272,5990.187143,5873.4244,0.004830201,88.229495
12/9/2024,6083.01,6088.51,6048.63,6052.85,798756208,-0.006144227,0.000942593,0.013351526,5993.984762,5879.718,0.00487536,76.5599779
12/10/2024,6057.59,6065.4,6029.89,6034.91,789557678,-0.002963893,-0.002474429,0.006566548,5995.859524,5885.1666,0.004881329,70.08669251
12/11/2024,6060.15,6092.59,6060.15,6084.19,842097625,0.008165822,-0.000377886,0.013803561,5999.804286,5892.6754,0.005172872,74.31967009
12/12/2024,6074.29,6079.68,6051.25,6051.25,669691594,-0.005414032,-0.003927501,0.011239992,6003.007143,5899.5096,0.005287584,64.95701478
12/13/2024,6068.17,6078.58,6035.77,6051.09,691898265,-2.64E-05,-0.006433212,0.010978417,6006.13619,5906.5326,0.005288652,62.68236935
12/16/2024,6063.79,6085.19,6059.14,6074.08,911382911,0.003799315,0.003507439,0.020996206,6012.084286,5912.9928,0.005109333,63.2112139
12/17/2024,6052.55,6057.68,6035.19,6050.61,935360900,-0.00386396,0.00260153,0.030659453,6020.655238,5920.0862,0.004122043,54.64765583
12/18/2024,6047.65,6070.67,5867.79,5872.16,1043959243,-0.029492894,-0.034849339,-0.003641226,6019.633333,5922.5068,0.007867185,36.82941213
12/19/2024,5912.71,5935.52,5866.07,5867.08,966551863,-0.000865099,-0.030435034,-0.008433356,6017.257143,5924.0076,0.0078115,31.61535394
12/20/2024,5842,5982.06,5832.3,5930.85,3034387295,0.010869121,-0.0198708,0.00232208,6017.911429,5927.0236,0.008188509,38.59759113
12/23/2024,5940.25,5978.25,5902.57,5974.07,690933980,0.00728732,-0.016465045,0.004263109,6019.119048,5930.2044,0.008260999,43.2974588
12/24/2024,5984.63,6040.1,5981.44,6040.04,329662275,0.011042723,-0.001746931,0.011843855,6022.485714,5933.8082,0.008568831,46.2987633
12/26/2024,6024.97,6049.75,6007.37,6037.59,438611805,-0.000405626,0.028171916,0.008387656,6024.877143,5938.2548,0.008552967,47.02892777
12/27/2024,6006.17,6006.17,5932.95,5970.84,584265430,-0.011055736,0.017685118,-0.008434593,6022.458571,5940.8222,0.008813849,40.59747524
12/30/2024,5920.67,5940.79,5869.16,5906.94,576929037,-0.010702012,-0.004031463,-0.015303214,6018.087143,5942.1316,0.009073159,38.85110818
12/31/2024,5919.74,5929.74,5868.86,5881.63,572261478,-0.00428479,-0.015473538,-0.024990137,6010.908571,5942.4708,0.008985973,38.37272664
1/2/2025,5903.26,5935.09,5829.53,5868.55,619827943,-0.002223873,-0.028392196,-0.029534574,6002.40381,5942.7622,0.008949786,32.56441391
1/3/2025,5891.07,5949.34,5888.66,5942.47,613673141,0.012595956,-0.015754631,-0.017754071,5997.289048,5944.5876,0.009452829,42.01676378
1/6/2025,5982.81,6021.04,5960.01,5975.38,788085038,0.005538101,0.000760362,-0.018255185,5991.998095,5948.1468,0.009434849,44.84266749
1/7/2025,5993.26,6000.68,5890.68,5909.03,766955250,-0.011103896,0.000353821,-0.027337777,5984.089524,5950.1302,0.009697064,39.01161187
1/8/2025,5910.66,5927.89,5874.78,5918.25,727874346,0.001560324,0.006226165,-0.028245053,5975.898095,5952.3328,0.009681023,41.07752927
1/10/2025,5890.35,5890.35,5807.78,5827.04,857104247,-0.01541165,-0.007073297,-0.037306393,5965.145238,5952.4032,0.010113566,46.58913946
1/13/2025,5782.02,5838.61,5773.31,5836.22,774871838,0.001575414,-0.017879771,-0.03292344,5955.68381,5952.4692,0.01013503,47.76699774
1/14/2025,5859.27,5871.92,5805.42,5842.91,681745619,0.00114629,-0.022169301,-0.039656881,5944.194286,5953.054,0.009912096,42.47321076
1/15/2025,5905.21,5960.61,5905.21,5949.91,796226409,0.018312793,0.006918225,-0.016746953,5939.368571,5957.9432,0.010801259,48.40313686
1/16/2025,5963.61,5964.69,5930.72,5937.34,688089761,-0.002112637,0.003225616,-0.018798266,5933.951905,5962.114,0.010803884,41.54774263
1/17/2025,5995.4,6014.96,5978.44,5996.66,1038376218,0.009991006,0.029109119,-0.012745963,5930.265238,5967.7934,0.011019372,47.13109653
1/21/2025,6014.12,6051.51,6006.88,6049.24,872632516,0.008768214,0.036499652,-0.000226423,5930.2,5973.123,0.011173279,56.47946138
1/22/2025,6081.39,6100.81,6076.13,6086.37,776506839,0.006137961,0.041667594,0.036478911,5940.400476,5976.2696,0.00894634,65.1291844
1/23/2025,6076.32,6118.73,6074.67,6118.71,652313300,0.005313512,0.028370177,0.042888456,5952.382857,5979.1818,0.008957776,69.69096821
1/24/2025,6121.43,6128.18,6088.74,6101.24,701415764,-0.002855177,0.027604954,0.02872944,5960.496667,5981.2958,0.008780299,69.26141436
1/27/2025,5969.04,6017.17,5962.92,6012.28,1155652701,-0.014580643,0.002604783,0.006395975,5962.31619,5981.5144,0.009325306,55.88061096
1/28/2025,6026.97,6074.54,5994.63,6067.7,913134764,0.009217801,0.003051623,0.00457944,5963.633333,5983.1886,0.009228633,57.38260127
1/29/2025,6057.7,6062.83,6012.96,6039.31,730161367,-0.004678873,-0.007732031,0.000284882,5963.715238,5984.2672,0.009290903,61.00916242
1/30/2025,6050.75,6086.64,6027.46,6071.17,807684024,0.005275437,-0.007769612,0.016803331,5968.492857,5986.7072,0.008993143,62.38379653
1/31/2025,6096.79,6120.91,6030.93,6040.53,1062709425,-0.005046803,-0.009950436,0.022615771,5974.854286,5990.1054,0.008710719,69.18919691
2/3/2025,5969.65,6022.13,5923.93,5994.57,881205887,-0.007608604,-0.002945638,0.01920216,5980.232381,5992.1244,0.008842684,63.49897289
2/4/2025,5998.14,6042.48,5990.87,6037.88,824283295,0.007224872,-0.004914548,0.028853805,5988.295714,5994.5424,0.008913573,65.5701595
2/5/2025,6020.45,6062.86,6007.06,6061.48,861579324,0.003908657,0.003670949,0.020027026,5993.962857,5997.4298,0.008562329,60.22146392
2/6/2025,6072.22,6084.03,6046.83,6083.57,815821898,0.003644324,0.00204244,0.018105961,5999.114762,6000.127,0.008521795,63.10938481
2/7/2025,6083.13,6101.28,6019.96,6025.99,744937548,-0.009464837,-0.002407074,0.019793435,6004.684286,6001.26,0.008413271,52.80384156
2/10/2025,6046.4,6073.38,6044.84,6066.44,755272156,0.00671259,0.011989184,0.025039496,6011.740952,6002.8414,0.008506037,51.74550759
2/11/2025,6049.32,6076.28,6042.34,6068.5,709504051,0.000339573,0.005071316,0.041437848,6023.239048,6003.7788,0.007614551,48.48717849
2/12/2025,6025.08,6063,6003,6051.97,777298820,-0.002723902,-0.001568924,0.036967421,6033.512857,6004.8434,0.00768298,43.61472264
2/13/2025,6060.59,6116.91,6050.95,6115.07,795667095,0.010426357,0.005177881,0.04657953,6046.472857,6006.4972,0.007909569,51.45616586
2/14/2025,6115.52,6127.47,6107.62,6114.63,762957211,-7.20E-05,0.014709616,0.027684452,6054.316667,6007.8468,0.007002404,61.23500645
2/18/2025,6121.6,6129.63,6099.51,6129.58,862946363,0.002444956,0.010408081,0.032378136,6063.470952,6009.4408,0.00696105,57.4612141
2/19/2025,6117.76,6147.43,6111.15,6144.15,779152355,0.002376998,0.012466013,0.024595358,6070.494286,6010.594,0.006692047,62.96097783
2/20/2025,6134.5,6134.5,6084.59,6117.52,775649279,-0.004334204,0.010831184,0.011287368,6073.745714,6011.4422,0.006558567,55.90093827
2/21/2025,6114.1,6114.82,6008.56,6013.13,976414806,-0.017064104,-0.016670292,-0.012033445,6070.258095,6009.8994,0.007463013,47.3264227
